"契約ID","会員番号","ステータス","契約種別","プランID","契約内容","契約申込み日時","解約申込み日時","契約開始日時","契約満了日時","削除フラグ"
"049a1dd5-d22d-4036-884a-5bdf52ea41c1","ab64d378-f244-4a13-90aa-131713e1d578","1","3","standard","type=""month"" name=""standard"" fee=1380 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 15:21:11","","2022-02-24 15:21:11","","2"
"dcdeec7c-6a95-46d8-b61f-51e00d2baac6","825ababb-bbae-444c-8dfe-09c2176ac133","1","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 15:22:59","","2022-02-24 15:22:59","","2"
"afb9b9b8-d5b4-4ff3-a971-6893054f66d8","825ababb-bbae-444c-8dfe-09c2176ac133","3","3","standard","type=""month"" name=""standard"" fee=1380 default=false prologue_kind=""immediate"" adjustment_rule=[] ","2022-03-24 20:46:19","2022-03-24 20:55:13","2022-03-24 20:55:14","2022-03-31 23:59:59","2"
"6eb9050b-1bde-42b3-8caf-ac9b830c4614","4408fb7e-5bf4-4eda-b212-041679934d17","1","3","standard","type=""month"" name=""standard"" fee=1380 default=false prologue_kind=""immediate"" adjustment_rule=[{   kind=""discount-price""   range=""1~1+1""   fee=400 },] ","2022-03-30 12:41:46","","2022-03-30 12:41:46","","2"
"561a473e-b97f-4157-906d-9a1487432b92","018f23c9-6863-46e2-bc3f-42489480c55a","1","3","standard","type=""month"" name=""standard"" fee=1380 default=false prologue_kind=""immediate"" adjustment_rule=[{   kind=""discount-price""   range=""1~1+1""   fee=400 },] ","2022-03-30 13:09:08","","2022-03-30 13:09:08","","2"