"契約ID","会員番号","ステータス","契約種別","プランID","契約内容","契約申込み日時","解約申込み日時","契約開始日時","契約満了日時","削除フラグ"
"b409a981-8361-452c-8e6f-1a56f340e4b2","be8556c4-5190-4796-9076-2199b5c0a911","3","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:41:30","2022-03-28 14:32:39","2022-02-24 11:41:30","2022-03-31 23:59:59","0"
"13f4849f-c7a6-481b-ac39-8e4b405b63c4","b1280e97-0901-4161-a2a2-891dcc4ddd2f","3","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:42:21","2022-03-28 13:38:45","2022-02-24 11:42:21","2022-03-31 23:59:59","0"
"71a25b65-5930-4d58-b2e7-edf7e52304df","306c0707-cd55-4a7a-b409-868121bff675","3","3","standard","type=""month"" name=""standard"" fee=1380 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-03-03 10:33:56","2022-03-28 14:15:11","2022-03-03 10:33:56","2022-03-31 23:59:59","0"
"36eb0ce5-da29-46cd-9d7d-5f9e69385710","306c0707-cd55-4a7a-b409-868121bff675","3","3","premium","type=""month"" name=""premium"" fee=1980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-03-07 14:28:34","2022-03-28 14:12:44","2022-03-07 14:28:34","2022-03-31 23:59:59","0"
"e9ebb669-0b90-46d9-9d11-57220b61cda3","17846fb8-4cd3-4809-84ae-fadb93e8f0ba","3","3","standard","type=""month"" name=""standard"" fee=1380 default=false prologue_kind=""immediate"" adjustment_rule=[{   kind=""discount-price""   range=""1~1+1""   fee=400 },] ","2022-03-28 12:34:54","2022-03-28 12:53:27","2022-03-28 12:34:54","2022-03-31 23:59:59","0"